total_bill,tip,sex,smoker,day,time,size,billdate,ID
16.99,1.01,Female,No,Sun,Dinner,2,1/1/2022,1
10.34,1.66,Male,No,Sun,Dinner,3,1/2/2022,2
21.01,3.5,Male,No,Sun,Dinner,3,1/3/2022,3
23.68,3.31,Male,No,Sun,Dinner,2,1/4/2022,4
24.59,3.61,Female,No,Sun,Dinner,4,1/5/2022,5
25.29,4.71,Male,No,Sun,Dinner,4,1/6/2022,6
8.77,2,Male,No,Sun,Dinner,2,1/7/2022,7
26.88,3.12,Male,No,Sun,Dinner,4,1/8/2022,8
15.04,1.96,Male,No,Sun,Dinner,2,1/9/2022,9
14.78,3.23,Male,No,Sun,Dinner,2,1/10/2022,10
10.27,1.71,Male,No,Sun,Dinner,2,1/11/2022,11
35.26,5,Female,No,Sun,Dinner,4,1/12/2022,12
15.42,1.57,Male,No,Sun,Dinner,2,1/13/2022,13
18.43,3,Male,No,Sun,Dinner,4,1/14/2022,14
14.83,3.02,Female,No,Sun,Dinner,2,1/15/2022,15
21.58,3.92,Male,No,Sun,Dinner,2,1/16/2022,16
10.33,1.67,Female,No,Sun,Dinner,3,1/17/2022,17
16.29,3.71,Male,No,Sun,Dinner,3,1/18/2022,18
16.97,3.5,Female,No,Sun,Dinner,3,1/19/2022,19
20.65,3.35,Male,No,Sat,Dinner,3,1/20/2022,20
17.92,4.08,Male,No,Sat,Dinner,2,1/21/2022,21
20.29,2.75,Female,No,Sat,Dinner,2,1/22/2022,22
15.77,2.23,Female,No,Sat,Dinner,2,1/23/2022,23
39.42,7.58,Male,No,Sat,Dinner,4,1/24/2022,24
19.82,3.18,Male,No,Sat,Dinner,2,1/25/2022,25
17.81,2.34,Male,No,Sat,Dinner,4,1/26/2022,26
13.37,2,Male,No,Sat,Dinner,2,1/27/2022,27
12.69,2,Male,No,Sat,Dinner,2,1/28/2022,28
21.7,4.3,Male,No,Sat,Dinner,2,1/29/2022,29
19.65,3,Female,No,Sat,Dinner,2,1/30/2022,30
9.55,1.45,Male,No,Sat,Dinner,2,1/31/2022,31
18.35,2.5,Male,No,Sat,Dinner,4,2/1/2022,32
15.06,3,Female,No,Sat,Dinner,2,2/2/2022,33
20.69,2.45,Female,No,Sat,Dinner,4,2/3/2022,34
17.78,3.27,Male,No,Sat,Dinner,2,2/4/2022,35
24.06,3.6,Male,No,Sat,Dinner,3,2/5/2022,36
16.31,2,Male,No,Sat,Dinner,3,2/6/2022,37
16.93,3.07,Female,No,Sat,Dinner,3,2/7/2022,38
18.69,2.31,Male,No,Sat,Dinner,3,2/8/2022,39
31.27,5,Male,No,Sat,Dinner,3,2/9/2022,40
16.04,2.24,Male,No,Sat,Dinner,3,2/10/2022,41
17.46,2.54,Male,No,Sun,Dinner,2,2/11/2022,42
13.94,3.06,Male,No,Sun,Dinner,2,2/12/2022,43
